time,open,high,low,close,Volume,Volume MA
2016-12-13T00:00:00Z,779.26,790.34,772.76,776.18,5387,3892
2016-12-14T00:00:00Z,776.65,781.8,773.2,777.66,4458,3944.5
2016-12-15T00:00:00Z,777.66,780,775,776.16,5904,4084.7
2016-12-16T00:00:00Z,776.16,785,774.8,780.98,5689,4237.15
2016-12-17T00:00:00Z,780.85,791.97,779.5,788.57,4318,4321.95
2016-12-18T00:00:00Z,788.98,791.96,787.19,790.72,2791,4270.4
2016-12-19T00:00:00Z,790.71,794.99,789,790.81,5465,4355.1
2016-12-20T00:00:00Z,791,799.21,788.58,798.99,5876,4454.3
2016-12-21T00:00:00Z,798.98,834.5,798.88,834.5,8390,4667
2016-12-22T00:00:00Z,834.15,875.75,832.38,856.02,8756,4804.4
2016-12-23T00:00:00Z,856.45,918.5,855.45,917.26,12704,5283.7
2016-12-24T00:00:00Z,917.28,918.19,880.1,891.5,6393,5467.3
2016-12-25T00:00:00Z,891.59,897.4,851.11,896.12,5323,5493.95
2016-12-26T00:00:00Z,895.94,908.24,890,902.09,3260,5433.6
2016-12-27T00:00:00Z,902.08,943.36,895,925.2,6693,5541.4
2016-12-28T00:00:00Z,925.28,983.46,923.95,982.17,9744,5788.8
2016-12-29T00:00:00Z,982.25,988.88,950.5,970.72,8955,6042.2
2016-12-30T00:00:00Z,970.51,970.51,930.3,960.81,7884,6270.45
2016-12-31T00:00:00Z,961.52,973.37,949,973.37,3811,6307.95
2017-01-01T00:00:00Z,973.37,1000,964.37,992.95,4368,6308.45
2017-01-02T00:00:00Z,992.96,1034.39,990.52,1011.45,7694,6423.8
2017-01-03T00:00:00Z,1011.52,1036.99,1006.71,1020.67,8592,6630.5
2017-01-04T00:00:00Z,1020.69,1147,1018,1130.3,16215,7146.05
2017-01-05T00:00:00Z,1131.1,1175,880,1007,20398,7881.5
2017-01-06T00:00:00Z,1007,1032.5,875.01,895.71,14123,8371.75
2017-01-07T00:00:00Z,895.78,910,802.07,909,11115,8787.95
2017-01-08T00:00:00Z,908.99,953.8,899.16,923.33,5347,8782.05
2017-01-09T00:00:00Z,922.04,923.58,886.42,902.66,5871,8781.8
